argomento,domanda,rispostaA,rispostaB,rispostaC,rispostaEsatta
luoghiAutobiografici,Dov'è nato Giacomo Leopari?,Jesi,Firenze,Recanati,Recanati
canti,Dov'è ambientato l'infinito,Roma,Recanati,Pisa,Recanati
operette,"Una delle sue operette morali più celebri, è intitolata Dialogo tra un Islandese e?",La natura,l'amico,il figlio,La natura
poeticaDeiPaesaggi,Colle di Recanati descritto da Leopardi,Tabor,MonteB,MonteC,Tabor
luoghiAutobiografici,E' mai stato in Sicilia,Si,No,1 volta dagli zii,No
canti,A?,Elisa,Marta,Silvia,Silvia
luoghiAutobiografici,Quando nacque Giacomo a Recanati?,29 giugno 1798,29 giugno 1788,19 giugno 1798,29 giugno 1798
luoghiAutobiografici,Dove si trova palazzo Leopardi?,Rione Monte Morello,Monte Tabor,Porto Recanati,Rione Monte Morello
luoghiAutobiografici,Con chi gioca Giacomo da bambino nel giardino del paterno ostello?,fratello Carlo e sorella Paolina,sorella Carla e fratello Paolino,Silvia,fratello Carlo e sorella Paolina
luoghiAutobiografici,In quale stanza della casa trascorre la maggior parte del tempo?,Biblioteca,Camera da letto,Cantina,Biblioteca
luoghiAutobiografici,Quando l’amico Giordani nel 1818 va a Recanati per conoscerlo dove si recano in gita?,Macerata,Pesaro,Ancona,Macerata
luoghiAutobiografici,Come si chiama il famoso colle dell’infinito?,Monte Tabor,Conero,Monte Morello,Monte Tabor
luoghiAutobiografici,Come si chiama la piazza antistante la casa natale del poeta?,Piazza Sabato del villaggio,Piazza Leopardi,Piazza dell’infinito,Piazza Sabato del villaggio
luoghiAutobiografici,Che cosa si vede dal chiostro della chiesa di sant’Agostino a Recanati?,La torre del passero solitario,Casa Leopardi,Monte Tabor,La torre del passero solitario
luoghiAutobiografici,Quando Giacomo tenta di fuggire da Recanati?,(1819) appena raggiunta la maggiore età,a 25 anni,a 15 anni,(1819) appena raggiunta la maggiore età
luoghiAutobiografici,Quando Giacomo compie il desiderato viaggio a Roma?,Novembre 1822,Agosto 1824,Aprile 1820,Novembre 1822
luoghiAutobiografici,Quanto resterà a Recanati dopo il viaggio romano?,Due anni,Sedici mesi,Quattro anni,Due anni
luoghiAutobiografici,Che cosa gli consente di trasferirsi a Milano?,Un contratto con l’editore Stella,Presenza dei parenti,Impiego pubblico,Un contratto con l’editore Stella
luoghiAutobiografici,Quando si trasferisce a Bologna?,1826,1827,1829,1826
luoghiAutobiografici,Quale ambiente frequenta a Firenze?,Gabinetto Viesseux,Biblioteca Laurenziana,Circolo Mediceo,Gabinetto Viesseux
poeticaDeiPaesaggi,In base alla descrizione del giardino la natura é:,Matrigna,Madre amorevole,Assente,Matrigna
poeticaDeiPaesaggi,Quali sono i fiori sofferenti descritti nel giardino del dolore?,Rosa e Giglio,Rosa e Tulipano,Girasole e Giglio,Rosa e Giglio
poeticaDeiPaesaggi,Nello Zibaldone, durante la descrizione del giardino del dolore, l’essere umano nei confronti della natura si presenta come:,colui che cura le piante sofferenti,colui che odia la natura,colui che ferisce le piante,colui che cura le piante sofferenti
